,winner,idMatch,pick1,winratepick1,mmrplayer1,pick2,winratepick2,mmrplayer2,pick3,winratepick3,mmrplayer3,pick4,winratepick4,mmrplayer4,pick5,winratepick5,mmrplayer5,pick6,winratepick6,mmrplayer6,pick7,winratepick7,mmrplayer7,pick8,winratepick8,mmrplayer8,pick9,winratepick9,mmrplayer9,pick10,winratepick10,mmrplayer10
135,Dire,7108713191,85,0.5333,70,128,0.4633,70,11,0.47,70,110,0.4769,70,48,0.455,70,100,0.4532,70,105,0.5084,70,30,0.4677,70,53,0.3884,70,45,0.5187,70
136,Radiant,7108603830,85,0.5333,70,128,0.4633,70,129,0.4292,70,70,0.4654,70,25,0.4054,70,5,0.5139,70,110,0.4769,70,137,0.478,70,6,0.479,70,22,0.4587,70
137,Radiant,7108603480,86,0.4871,70,71,0.5155,70,100,0.4532,70,74,0.4702,70,47,0.4961,70,87,0.4985,80,43,0.5069,80,62,0.5393,70,106,0.4986,72,67,0.4781,73
138,Radiant,7108586711,85,0.5333,80,5,0.5139,80,32,0.5282,80,9,0.5032,80,25,0.4054,70,38,0.4791,80,58,0.4366,80,64,0.508,80,41,0.4934,80,69,0.4668,80
139,Dire,7108552110,38,0.4791,80,87,0.4985,70,123,0.4535,63,98,0.4815,80,102,0.5033,70,137,0.478,74,92,0.4987,80,75,0.5201,80,83,0.5051,80,95,0.4754,80
140,Radiant,7108521153,58,0.4366,70,120,0.5021,70,11,0.47,70,86,0.4871,70,71,0.5155,70,87,0.4985,80,62,0.5393,70,105,0.5084,72,19,0.4524,80,1,0.4769,70
141,Radiant,7108515473,53,0.3884,70,51,0.476,70,58,0.4366,80,55,0.5498,80,19,0.4524,80,86,0.4871,80,38,0.4791,80,89,0.5447,80,64,0.508,80,13,0.483,80
142,Dire,7108514375,112,0.534,70,33,0.4916,70,97,0.4886,70,70,0.4654,70,7,0.4996,70,27,0.4896,70,22,0.4587,70,14,0.4912,70,10,0.4552,70,25,0.4054,70
143,Radiant,7108483382,137,0.478,74,92,0.4987,80,75,0.5201,80,77,0.4987,80,31,0.5104,80,38,0.4791,80,87,0.4985,70,86,0.4871,63,22,0.4587,80,70,0.4654,70
144,Dire,7108444068,128,0.4633,80,49,0.4291,80,120,0.5021,80,79,0.4948,70,29,0.4706,80,69,0.4668,70,86,0.4871,80,65,0.5134,70,111,0.5348,80,10,0.4552,70
145,Radiant,7108442912,85,0.5333,70,62,0.5393,70,114,0.488,70,44,0.4469,70,129,0.4292,70,37,0.5008,70,86,0.4871,70,35,0.4447,70,36,0.4872,70,59,0.5025,70
146,Radiant,7108422410,51,0.476,80,58,0.4366,80,120,0.5021,70,114,0.488,80,5,0.5139,80,85,0.5333,80,106,0.4986,80,41,0.4934,80,123,0.4535,80,97,0.4886,80
147,Radiant,7108399394,43,0.5069,80,86,0.4871,70,110,0.4769,80,1,0.4769,80,137,0.478,70,9,0.5032,80,49,0.4291,80,38,0.4791,80,35,0.4447,80,58,0.4366,80
148,Radiant,7108396296,9,0.5032,70,43,0.5069,80,137,0.478,80,62,0.5393,70,109,0.4731,70,86,0.4871,70,38,0.4791,70,58,0.4366,70,10,0.4552,70,17,0.4825,70
149,Radiant,7108389630,86,0.4871,70,74,0.4702,70,71,0.5155,70,42,0.4442,70,23,0.5076,70,90,0.4996,70,31,0.5104,70,75,0.5201,70,19,0.4524,70,41,0.4934,70
150,Radiant,7108306227,69,0.4668,80,85,0.5333,80,120,0.5021,80,119,0.4978,70,44,0.4469,80,87,0.4985,70,1,0.4769,80,91,0.4988,70,17,0.4825,80,33,0.4916,70
151,Dire,7108299098,85,0.5333,80,74,0.4702,80,18,0.5174,80,9,0.5032,70,38,0.4791,80,53,0.3884,80,51,0.476,80,87,0.4985,80,70,0.4654,80,120,0.5021,80
152,Dire,7108272061,1,0.4769,80,64,0.508,80,119,0.4978,80,137,0.478,70,39,0.5105,80,61,0.4745,70,123,0.4535,80,93,0.5257,80,85,0.5333,80,19,0.4524,80
153,Radiant,7108263730,45,0.5187,70,62,0.5393,70,32,0.5282,70,80,0.4943,80,47,0.4961,70,58,0.4366,70,71,0.5155,70,87,0.4985,80,51,0.476,70,67,0.4781,80
154,Dire,7108258623,111,0.5348,70,19,0.4524,70,106,0.4986,70,7,0.4996,70,128,0.4633,70,71,0.5155,70,72,0.465,70,21,0.5318,70,56,0.5183,70,100,0.4532,70
155,Dire,7108193697,1,0.4769,70,85,0.5333,70,9,0.5032,80,123,0.4535,80,21,0.5318,70,58,0.4366,70,70,0.4654,70,77,0.4987,70,105,0.5084,80,32,0.5282,70
156,Radiant,7108189493,69,0.4668,70,110,0.4769,80,87,0.4985,80,109,0.4731,80,49,0.4291,80,86,0.4871,80,92,0.4987,80,137,0.478,80,75,0.5201,80,67,0.4781,80
157,Radiant,7108183505,91,0.4988,70,87,0.4985,70,11,0.47,70,97,0.4886,70,61,0.4745,70,9,0.5032,70,45,0.5187,70,28,0.4639,70,20,0.4463,70,52,0.4611,70
158,Dire,7108181251,69,0.4668,80,85,0.5333,80,79,0.4948,80,71,0.5155,70,54,0.4602,80,87,0.4985,70,1,0.4769,80,86,0.4871,70,120,0.5021,80,108,0.5067,70
159,Dire,7108178256,69,0.4668,80,119,0.4978,80,87,0.4985,80,28,0.4639,80,95,0.4754,80,85,0.5333,80,74,0.4702,80,1,0.4769,80,123,0.4535,70,104,0.5435,80
160,Radiant,7108159996,1,0.4769,80,64,0.508,80,119,0.4978,80,49,0.4291,70,40,0.5192,80,61,0.4745,70,87,0.4985,80,51,0.476,80,32,0.5282,80,114,0.488,80
161,Radiant,7108131533,5,0.5139,70,101,0.5195,70,104,0.5435,70,106,0.4986,70,46,0.4813,70,96,0.477,70,86,0.4871,70,75,0.5201,70,95,0.4754,70,74,0.4702,70
162,Dire,7108130205,45,0.5187,70,28,0.4639,70,71,0.5155,70,63,0.4855,70,106,0.4986,70,135,0.5041,70,20,0.4463,70,91,0.4988,70,11,0.47,70,69,0.4668,70
163,Dire,7108108199,123,0.4535,70,9,0.5032,70,96,0.477,70,105,0.5084,72,114,0.488,70,86,0.4871,70,1,0.4769,70,135,0.5041,70,85,0.5333,80,129,0.4292,70
164,Dire,7108107553,86,0.4871,70,69,0.4668,80,58,0.4366,80,65,0.5134,80,102,0.5033,80,114,0.488,80,92,0.4987,80,137,0.478,80,5,0.5139,80,70,0.4654,80
165,Dire,7108089461,69,0.4668,80,106,0.4986,80,128,0.4633,80,87,0.4985,80,14,0.4912,80,74,0.4702,80,85,0.5333,80,119,0.4978,80,10,0.4552,80,51,0.476,70
166,Dire,7108078459,87,0.4985,70,101,0.5195,70,81,0.4813,70,42,0.4442,70,106,0.4986,70,5,0.5139,70,11,0.47,70,114,0.488,70,71,0.5155,70,49,0.4291,70
167,Radiant,7108073860,106,0.4986,70,9,0.5032,80,62,0.5393,80,6,0.479,80,40,0.5192,80,87,0.4985,80,77,0.4987,80,43,0.5069,80,119,0.4978,70,70,0.4654,80
168,Dire,7108061130,64,0.508,70,91,0.4988,70,99,0.4467,70,67,0.4781,70,92,0.4987,70,31,0.5104,70,20,0.4463,70,14,0.4912,70,28,0.4639,70,46,0.4813,70
169,Radiant,7108024996,61,0.4745,70,87,0.4985,70,123,0.4535,70,53,0.3884,80,38,0.4791,70,86,0.4871,70,114,0.488,70,64,0.508,70,32,0.5282,70,89,0.5447,70
170,Dire,7108016508,85,0.5333,70,69,0.4668,70,32,0.5282,70,22,0.4587,70,12,0.5014,70,87,0.4985,70,86,0.4871,70,71,0.5155,70,46,0.4813,70,13,0.483,70
171,Dire,7107432346,100,0.4532,80,43,0.5069,80,58,0.4366,80,108,0.5067,80,12,0.5014,80,114,0.488,80,109,0.4731,70,52,0.4611,80,51,0.476,70,39,0.5105,80
172,Radiant,7107429125,58,0.4366,70,49,0.4291,70,87,0.4985,70,59,0.5025,70,23,0.5076,70,86,0.4871,70,29,0.4706,70,9,0.5032,70,77,0.4987,70,100,0.4532,70
173,Radiant,7107412596,64,0.508,80,49,0.4291,70,123,0.4535,63,19,0.4524,80,95,0.4754,70,53,0.3884,80,105,0.5084,73,72,0.465,54,17,0.4825,70,70,0.4654,80
174,Dire,7107391072,64,0.508,70,29,0.4706,70,100,0.4532,70,56,0.5183,70,86,0.4871,70,87,0.4985,70,96,0.477,70,14,0.4912,70,128,0.4633,70,19,0.4524,70
175,Dire,7107367164,58,0.4366,80,33,0.4916,54,14,0.4912,70,17,0.4825,80,1,0.4769,73,9,0.5032,70,49,0.4291,80,5,0.5139,63,120,0.5021,80,44,0.4469,70
176,Dire,7107349124,123,0.4535,70,9,0.5032,70,33,0.4916,70,95,0.4754,70,52,0.4611,70,30,0.4677,70,86,0.4871,70,49,0.4291,70,12,0.5014,70,106,0.4986,70
177,Radiant,7107348826,100,0.4532,80,120,0.5021,80,58,0.4366,80,109,0.4731,70,17,0.4825,80,43,0.5069,80,106,0.4986,80,136,0.4949,80,31,0.5104,80,114,0.488,80
178,Radiant,7107328578,30,0.4677,70,86,0.4871,70,49,0.4291,70,12,0.5014,70,106,0.4986,70,123,0.4535,70,9,0.5032,70,33,0.4916,70,95,0.4754,70,52,0.4611,70
179,Dire,7107315978,87,0.4985,80,33,0.4916,70,107,0.4963,63,70,0.4654,80,34,0.5423,70,85,0.5333,80,105,0.5084,73,11,0.47,80,104,0.5435,70,17,0.4825,54
180,Dire,7107310732,87,0.4985,70,53,0.3884,80,120,0.5021,70,85,0.5333,80,11,0.47,70,100,0.4532,80,43,0.5069,80,64,0.508,80,137,0.478,80,12,0.5014,80
181,Dire,7107275897,86,0.4871,70,9,0.5032,70,104,0.5435,70,106,0.4986,70,17,0.4825,70,121,0.4826,70,75,0.5201,70,70,0.4654,70,97,0.4886,70,13,0.483,70
182,Dire,7107269660,43,0.5069,80,137,0.478,80,3,0.5108,80,41,0.4934,80,26,0.4536,80,100,0.4532,80,120,0.5021,80,86,0.4871,80,30,0.4677,80,109,0.4731,70
183,Dire,7107236510,69,0.4668,70,86,0.4871,80,51,0.476,70,109,0.4731,80,120,0.5021,70,58,0.4366,80,1,0.4769,80,9,0.5032,80,38,0.4791,80,106,0.4986,80
184,Radiant,7107206258,72,0.465,70,55,0.5498,80,99,0.4467,80,100,0.4532,63,106,0.4986,80,91,0.4988,72,43,0.5069,80,137,0.478,80,51,0.476,80,14,0.4912,70
185,Dire,7107204452,86,0.4871,70,69,0.4668,70,87,0.4985,70,35,0.4447,70,48,0.455,70,9,0.5032,70,110,0.4769,70,52,0.4611,70,2,0.5044,70,11,0.47,70
186,Dire,7107181645,100,0.4532,80,52,0.4611,80,75,0.5201,80,65,0.5134,80,89,0.5447,70,43,0.5069,80,137,0.478,80,136,0.4949,80,31,0.5104,80,41,0.4934,80
187,Radiant,7107131367,87,0.4985,70,49,0.4291,70,128,0.4633,70,109,0.4731,70,43,0.5069,70,86,0.4871,70,9,0.5032,70,96,0.477,70,69,0.4668,70,59,0.5025,70
188,Dire,7107086104,55,0.5498,70,87,0.4985,63,137,0.478,80,98,0.4815,80,114,0.488,80,91,0.4988,72,1,0.4769,80,51,0.476,80,99,0.4467,80,49,0.4291,70
189,Radiant,7107044666,96,0.477,70,87,0.4985,70,10,0.4552,70,123,0.4535,70,22,0.4587,70,86,0.4871,70,129,0.4292,70,18,0.5174,70,30,0.4677,70,49,0.4291,70
190,Radiant,7106980837,78,0.5054,70,68,0.5128,44,8,0.4656,80,86,0.4871,80,107,0.4963,80,91,0.4988,80,137,0.478,80,61,0.4745,80,19,0.4524,72,18,0.5174,70
191,Radiant,7106941302,123,0.4535,70,129,0.4292,70,100,0.4532,70,17,0.4825,70,35,0.4447,70,86,0.4871,70,85,0.5333,70,23,0.5076,70,49,0.4291,70,10,0.4552,70
192,Dire,7106922932,85,0.5333,80,69,0.4668,80,70,0.4654,80,76,0.492,80,9,0.5032,70,73,0.5131,80,58,0.4366,80,14,0.4912,80,25,0.4054,80,89,0.5447,80
193,Dire,7106838521,51,0.476,80,128,0.4633,80,11,0.47,80,69,0.4668,80,49,0.4291,70,85,0.5333,80,61,0.4745,80,119,0.4978,80,106,0.4986,80,32,0.5282,80
194,Dire,7106766687,85,0.5333,70,8,0.4656,44,91,0.4988,80,30,0.4677,80,26,0.4536,80,77,0.4987,80,105,0.5084,74,31,0.5104,80,14,0.4912,80,75,0.5201,80
195,Dire,7106711893,49,0.4291,80,9,0.5032,70,75,0.5201,80,52,0.4611,80,109,0.4731,70,86,0.4871,80,69,0.4668,80,114,0.488,80,107,0.4963,80,53,0.3884,80
196,Radiant,7106706362,85,0.5333,80,106,0.4986,80,104,0.5435,80,105,0.5084,80,32,0.5282,70,100,0.4532,80,21,0.5318,80,23,0.5076,80,93,0.5257,80,128,0.4633,80
197,Dire,7106705755,106,0.4986,80,105,0.5084,80,75,0.5201,80,29,0.4706,80,10,0.4552,80,86,0.4871,80,65,0.5134,80,53,0.3884,80,51,0.476,70,73,0.5131,80
198,Radiant,7106669131,9,0.5032,80,60,0.4776,80,128,0.4633,80,32,0.5282,70,33,0.4916,80,38,0.4791,80,86,0.4871,80,74,0.4702,80,87,0.4985,80,136,0.4949,80
199,Dire,7106657918,38,0.4791,70,9,0.5032,44,70,0.4654,80,86,0.4871,80,120,0.5021,80,85,0.5333,74,19,0.4524,80,97,0.4886,80,95,0.4754,80,105,0.5084,80
200,Radiant,7106613100,85,0.5333,80,74,0.4702,80,123,0.4535,80,114,0.488,80,96,0.477,80,135,0.5041,80,75,0.5201,80,100,0.4532,80,43,0.5069,80,93,0.5257,70
201,Radiant,7106596798,86,0.4871,80,69,0.4668,80,106,0.4986,80,64,0.508,80,109,0.4731,80,87,0.4985,80,100,0.4532,80,53,0.3884,80,49,0.4291,70,90,0.4996,80
202,Radiant,7106586165,87,0.4985,80,69,0.4668,80,107,0.4963,80,91,0.4988,80,15,0.4485,80,49,0.4291,80,9,0.5032,70,110,0.4769,80,52,0.4611,80,33,0.4916,70
203,Dire,7106563613,5,0.5139,70,9,0.5032,70,60,0.4776,70,11,0.47,70,120,0.5021,70,85,0.5333,70,101,0.5195,70,54,0.4602,70,28,0.4639,70,25,0.4054,70
204,Dire,7106552618,38,0.4791,80,86,0.4871,80,87,0.4985,80,10,0.4552,80,47,0.4961,80,69,0.4668,80,9,0.5032,80,79,0.4948,80,42,0.4442,70,49,0.4291,80
205,Radiant,7106547264,74,0.4702,80,51,0.476,80,5,0.5139,80,61,0.4745,80,114,0.488,80,69,0.4668,80,77,0.4987,80,86,0.4871,80,9,0.5032,80,18,0.5174,70
206,Radiant,7106544137,1,0.4769,80,86,0.4871,70,87,0.4985,70,53,0.3884,70,49,0.4291,70,51,0.476,70,75,0.5201,70,69,0.4668,70,92,0.4987,70,23,0.5076,80
207,Radiant,7106498597,86,0.4871,70,43,0.5069,70,38,0.4791,70,48,0.455,70,85,0.5333,70,5,0.5139,70,84,0.4835,70,11,0.47,70,110,0.4769,70,10,0.4552,70
208,Dire,7106497287,69,0.4668,80,9,0.5032,80,114,0.488,80,23,0.5076,80,128,0.4633,80,86,0.4871,80,89,0.5447,80,87,0.4985,80,120,0.5021,70,81,0.4813,80
209,Dire,7106488213,4,0.5148,70,31,0.5104,70,128,0.4633,70,108,0.5067,70,74,0.4702,80,77,0.4987,70,1,0.4769,80,45,0.5187,70,87,0.4985,70,106,0.4986,70
210,Dire,7106463166,85,0.5333,80,74,0.4702,80,54,0.4602,80,9,0.5032,80,49,0.4291,80,135,0.5041,80,75,0.5201,80,51,0.476,80,21,0.5318,80,70,0.4654,70
211,Radiant,7106432308,87,0.4985,70,112,0.534,70,16,0.4788,70,86,0.4871,70,62,0.5393,70,91,0.4988,70,38,0.4791,70,114,0.488,70,54,0.4602,70,22,0.4587,70
212,Radiant,7106414949,120,0.5021,70,75,0.5201,70,114,0.488,70,87,0.4985,70,19,0.4524,70,90,0.4996,70,111,0.5348,70,99,0.4467,70,9,0.5032,70,52,0.4611,70
213,Radiant,7106400611,19,0.4524,80,137,0.478,80,6,0.479,80,87,0.4985,80,97,0.4886,80,86,0.4871,80,43,0.5069,80,64,0.508,80,106,0.4986,70,35,0.4447,70
214,Dire,7106394396,128,0.4633,70,7,0.4996,80,120,0.5021,70,41,0.4934,70,28,0.4639,70,114,0.488,70,5,0.5139,70,1,0.4769,70,22,0.4587,70,19,0.4524,70
215,Radiant,7106379372,85,0.5333,80,69,0.4668,80,86,0.4871,70,76,0.492,70,109,0.4731,80,91,0.4988,70,17,0.4825,80,10,0.4552,70,3,0.5108,80,58,0.4366,70
216,Dire,7106379217,97,0.4886,70,119,0.4978,70,22,0.4587,70,70,0.4654,70,20,0.4463,70,86,0.4871,70,111,0.5348,70,104,0.5435,70,107,0.4963,70,73,0.5131,70
217,Dire,7106364984,87,0.4985,70,100,0.4532,70,49,0.4291,70,72,0.465,70,22,0.4587,70,136,0.4949,70,5,0.5139,70,120,0.5021,70,101,0.5195,70,128,0.4633,70
218,Dire,7106351487,58,0.4366,80,65,0.5134,80,86,0.4871,80,38,0.4791,80,11,0.47,80,43,0.5069,80,19,0.4524,80,120,0.5021,80,5,0.5139,70,35,0.4447,70
219,Radiant,7106345701,62,0.5393,70,123,0.4535,70,68,0.5128,70,89,0.5447,70,17,0.4825,70,85,0.5333,80,43,0.5069,70,11,0.47,70,51,0.476,70,19,0.4524,70
220,Radiant,7106334677,26,0.4536,70,87,0.4985,70,97,0.4886,70,105,0.5084,70,1,0.4769,70,86,0.4871,70,17,0.4825,70,92,0.4987,70,4,0.5148,70,101,0.5195,70
221,Dire,7106325920,31,0.5104,70,128,0.4633,70,16,0.4788,70,35,0.4447,70,86,0.4871,70,85,0.5333,70,123,0.4535,70,62,0.5393,70,76,0.492,70,10,0.4552,70
222,Dire,7106325408,100,0.4532,70,53,0.3884,80,49,0.4291,70,121,0.4826,80,70,0.4654,70,87,0.4985,80,120,0.5021,80,108,0.5067,70,123,0.4535,70,93,0.5257,80
223,Radiant,7106290010,119,0.4978,70,5,0.5139,70,96,0.477,70,106,0.4986,70,46,0.4813,70,86,0.4871,70,71,0.5155,70,85,0.5333,70,11,0.47,70,120,0.5021,70
224,Dire,7106287207,61,0.4745,80,86,0.4871,80,13,0.483,80,54,0.4602,70,85,0.5333,70,5,0.5139,80,137,0.478,80,19,0.4524,80,1,0.4769,80,33,0.4916,80
225,Radiant,7106282679,86,0.4871,70,129,0.4292,70,108,0.5067,70,31,0.5104,70,64,0.508,70,45,0.5187,70,9,0.5032,70,20,0.4463,70,41,0.4934,70,36,0.4872,70
226,Radiant,7106252642,5,0.5139,70,71,0.5155,70,81,0.4813,70,23,0.5076,70,109,0.4731,70,128,0.4633,70,137,0.478,70,19,0.4524,70,55,0.5498,70,89,0.5447,70
227,Dire,7106246584,31,0.5104,70,121,0.4826,70,32,0.5282,70,11,0.47,70,44,0.4469,70,19,0.4524,70,101,0.5195,70,135,0.5041,70,67,0.4781,70,43,0.5069,70
228,Dire,7106216453,112,0.534,70,26,0.4536,70,49,0.4291,70,10,0.4552,70,52,0.4611,70,97,0.4886,70,110,0.4769,70,81,0.4813,70,32,0.5282,70,42,0.4442,70
229,Radiant,7106203613,87,0.4985,70,69,0.4668,70,103,0.5634,70,128,0.4633,70,106,0.4986,70,26,0.4536,70,27,0.4896,70,129,0.4292,70,54,0.4602,70,39,0.5105,70
230,Radiant,7106176168,51,0.476,70,87,0.4985,70,38,0.4791,70,93,0.5257,70,109,0.4731,70,100,0.4532,70,43,0.5069,70,19,0.4524,70,23,0.5076,70,53,0.3884,70
231,Radiant,7106170878,75,0.5201,70,104,0.5435,70,68,0.5128,70,8,0.4656,70,17,0.4825,70,86,0.4871,70,30,0.4677,70,11,0.47,70,97,0.4886,70,21,0.5318,70
232,Dire,7106146337,110,0.4769,70,4,0.5148,70,77,0.4987,70,62,0.5393,70,23,0.5076,70,128,0.4633,70,136,0.4949,70,9,0.5032,70,42,0.4442,70,13,0.483,70
233,Radiant,7106140270,9,0.5032,70,71,0.5155,70,128,0.4633,70,6,0.479,70,126,0.4822,70,31,0.5104,70,51,0.476,70,123,0.4535,70,46,0.4813,70,100,0.4532,70
234,Dire,7106116869,29,0.4706,70,69,0.4668,70,95,0.4754,70,62,0.5393,70,13,0.483,70,1,0.4769,70,87,0.4985,70,77,0.4987,70,21,0.5318,70,128,0.4633,70
235,Dire,7106114176,9,0.5032,70,64,0.508,70,44,0.4469,70,101,0.5195,70,129,0.4292,70,71,0.5155,70,21,0.5318,70,84,0.4835,70,46,0.4813,70,19,0.4524,70
236,Radiant,7106006076,69,0.4668,80,87,0.4985,80,11,0.47,70,33,0.4916,80,49,0.4291,70,86,0.4871,80,96,0.477,80,10,0.4552,80,83,0.5051,80,39,0.5105,80
237,Radiant,7105982792,87,0.4985,80,100,0.4532,80,128,0.4633,80,129,0.4292,80,95,0.4754,80,86,0.4871,70,108,0.5067,80,105,0.5084,80,81,0.4813,80,104,0.5435,80
238,Dire,7105966126,43,0.5069,80,107,0.4963,80,64,0.508,80,137,0.478,80,53,0.3884,80,114,0.488,80,120,0.5021,80,29,0.4706,80,85,0.5333,70,56,0.5183,70
239,Dire,7105951159,87,0.4985,70,137,0.478,80,123,0.4535,80,6,0.479,80,69,0.4668,80,86,0.4871,80,135,0.5041,80,100,0.4532,80,10,0.4552,80,84,0.4835,80
240,Radiant,7105943635,100,0.4532,70,86,0.4871,70,135,0.5041,70,62,0.5393,70,67,0.4781,70,19,0.4524,70,123,0.4535,70,43,0.5069,70,10,0.4552,70,120,0.5021,70
241,Radiant,7105919725,58,0.4366,80,137,0.478,80,128,0.4633,80,23,0.5076,80,46,0.4813,80,100,0.4532,70,51,0.476,80,9,0.5032,80,70,0.4654,80,114,0.488,80
242,Radiant,7105917080,100,0.4532,70,123,0.4535,70,49,0.4291,70,48,0.455,70,17,0.4825,70,86,0.4871,70,135,0.5041,70,107,0.4963,70,93,0.5257,70,114,0.488,70
243,Dire,7105908480,128,0.4633,80,51,0.476,80,74,0.4702,80,29,0.4706,80,11,0.47,80,86,0.4871,80,65,0.5134,80,73,0.5131,80,50,0.448,70,70,0.4654,80
244,Dire,7105878739,58,0.4366,80,137,0.478,80,128,0.4633,80,13,0.483,80,42,0.4442,80,100,0.4532,70,52,0.4611,80,41,0.4934,80,64,0.508,80,105,0.5084,80
245,Radiant,7105878319,30,0.4677,70,88,0.5006,70,97,0.4886,70,95,0.4754,70,8,0.4656,70,86,0.4871,70,64,0.508,70,137,0.478,70,35,0.4447,70,13,0.483,70
246,Dire,7105861033,123,0.4535,80,135,0.5041,70,114,0.488,80,72,0.465,80,32,0.5282,80,86,0.4871,80,120,0.5021,80,51,0.476,80,11,0.47,80,74,0.4702,80
247,Dire,7105848690,87,0.4985,44,55,0.5498,70,96,0.477,80,6,0.479,80,91,0.4988,80,38,0.4791,70,123,0.4535,80,70,0.4654,63,5,0.5139,80,23,0.5076,70
248,Dire,7105818726,79,0.4948,70,64,0.508,70,33,0.4916,70,93,0.5257,70,22,0.4587,70,86,0.4871,70,75,0.5201,70,137,0.478,70,48,0.455,70,77,0.4987,70
249,Dire,7105809825,69,0.4668,80,87,0.4985,80,123,0.4535,80,13,0.483,80,41,0.4934,80,86,0.4871,80,114,0.488,80,100,0.4532,80,72,0.465,70,135,0.5041,80
250,Dire,7105804352,86,0.4871,70,85,0.5333,80,19,0.4524,80,6,0.479,80,15,0.4485,80,100,0.4532,80,33,0.4916,80,137,0.478,80,58,0.4366,80,54,0.4602,80
251,Dire,7105783526,91,0.4988,44,70,0.4654,70,31,0.5104,80,96,0.477,80,34,0.5423,80,87,0.4985,80,60,0.4776,70,123,0.4535,63,102,0.5033,80,22,0.4587,70
252,Radiant,7105754278,9,0.5032,70,103,0.5634,70,49,0.4291,70,6,0.479,70,86,0.4871,70,87,0.4985,70,123,0.4535,70,43,0.5069,70,93,0.5257,70,7,0.4996,70
253,Radiant,7105687762,9,0.5032,80,49,0.4291,80,128,0.4633,80,106,0.4986,80,93,0.5257,80,51,0.476,70,102,0.5033,80,30,0.4677,80,17,0.4825,80,10,0.4552,80
254,Radiant,7105681761,128,0.4633,70,114,0.488,70,47,0.4961,70,1,0.4769,70,39,0.5105,70,85,0.5333,70,43,0.5069,70,19,0.4524,70,10,0.4552,70,4,0.5148,70
255,Dire,7105651493,43,0.5069,70,114,0.488,73,87,0.4985,80,41,0.4934,54,13,0.483,80,85,0.5333,80,137,0.478,80,10,0.4552,74,53,0.3884,80,105,0.5084,80
256,Dire,7105583870,69,0.4668,70,123,0.4535,80,64,0.508,80,52,0.4611,80,46,0.4813,80,87,0.4985,80,114,0.488,80,17,0.4825,80,91,0.4988,80,96,0.477,80
257,Radiant,7105578855,100,0.4532,70,20,0.4463,70,11,0.47,70,48,0.455,70,49,0.4291,70,105,0.5084,70,71,0.5155,70,87,0.4985,70,22,0.4587,70,10,0.4552,70
258,Radiant,7105552582,78,0.5054,80,105,0.5084,74,85,0.5333,80,6,0.479,80,19,0.4524,80,75,0.5201,73,87,0.4985,54,96,0.477,80,10,0.4552,70,65,0.5134,70
259,Dire,7105518913,105,0.5084,70,129,0.4292,70,30,0.4677,70,93,0.5257,70,106,0.4986,70,20,0.4463,70,100,0.4532,70,49,0.4291,70,48,0.455,70,32,0.5282,70
260,Radiant,7105440338,100,0.4532,80,58,0.4366,80,120,0.5021,80,65,0.5134,70,81,0.4813,80,85,0.5333,80,6,0.479,80,86,0.4871,80,7,0.4996,80,17,0.4825,80
261,Radiant,7105436638,87,0.4985,80,98,0.4815,80,86,0.4871,80,13,0.483,80,89,0.5447,80,58,0.4366,80,114,0.488,80,76,0.492,80,128,0.4633,80,19,0.4524,80
262,Dire,7105433176,96,0.477,80,86,0.4871,80,64,0.508,80,120,0.5021,80,95,0.4754,70,85,0.5333,80,77,0.4987,80,87,0.4985,80,1,0.4769,80,16,0.4788,80
263,Radiant,7105404152,43,0.5069,70,19,0.4524,80,9,0.5032,80,76,0.492,80,44,0.4469,80,87,0.4985,80,49,0.4291,80,69,0.4668,80,114,0.488,80,1,0.4769,80
264,Dire,7105336455,137,0.478,72,91,0.4988,80,19,0.4524,80,29,0.4706,80,54,0.4602,70,85,0.5333,74,38,0.4791,80,105,0.5084,80,7,0.4996,80,1,0.4769,80
265,Dire,7105327130,85,0.5333,80,47,0.4961,80,136,0.4949,80,18,0.5174,80,19,0.4524,70,6,0.479,80,51,0.476,80,119,0.4978,80,38,0.4791,80,34,0.5423,80
266,Dire,7105301710,86,0.4871,80,96,0.477,80,128,0.4633,80,12,0.5014,80,34,0.5423,80,43,0.5069,80,87,0.4985,80,109,0.4731,80,103,0.5634,80,104,0.5435,80
267,Radiant,7105297414,43,0.5069,70,19,0.4524,80,9,0.5032,80,89,0.5447,80,120,0.5021,80,87,0.4985,80,49,0.4291,80,69,0.4668,80,114,0.488,80,105,0.5084,80
268,Dire,7105271070,86,0.4871,80,38,0.4791,80,70,0.4654,80,19,0.4524,80,111,0.5348,80,69,0.4668,80,87,0.4985,80,74,0.4702,80,114,0.488,80,40,0.5192,80
269,Dire,7105258565,69,0.4668,80,66,0.5066,80,31,0.5104,80,99,0.4467,72,98,0.4815,70,85,0.5333,80,137,0.478,74,92,0.4987,80,53,0.3884,80,7,0.4996,80
270,Radiant,7105063745,85,0.5333,80,12,0.5014,80,71,0.5155,80,53,0.3884,80,16,0.4788,80,83,0.5051,80,6,0.479,80,75,0.5201,80,137,0.478,80,126,0.4822,70
271,Radiant,7105061736,87,0.4985,80,49,0.4291,80,19,0.4524,80,97,0.4886,80,89,0.5447,80,58,0.4366,80,70,0.4654,80,119,0.4978,80,38,0.4791,80,21,0.5318,80
