,winner,id,pick1,taxavitoria1,rank1,pick2,taxavitoria2,rank2,pick3,taxavitoria3,rank3,pick4,taxavitoria4,rank4,pick5,taxavitoria5,rank5,pick6,taxavitoria6,rank6,pick7,taxavitoria7,rank7,pick8,taxavitoria8,rank8,pick9,taxavitoria9,rank9,pick10,taxavitoria10,rank10
353,dire,7088142825,49,53.33,75,67,45.87,75,52,42.91,75,85,47.81,75,22,46.11,75,97,48.96,75,106,49.78,75,119,45.5,75,27,49.86,75,48,48.86,75
354,radiant,7088129332,41,50.839999999999996,80,19,45.24,80,60,46.33,80,128,49.34,80,105,47.760000000000005,80,43,50.690000000000005,80,13,48.71,80,86,50.51,80,83,44.47,80,35,48.3,80
355,radiant,7088108921,104,48.71,80,86,51.339999999999996,80,89,51.949999999999996,80,101,54.35,80,65,54.47,80,53,38.84,80,19,45.24,80,39,51.05,80,70,46.54,80,137,47.8,80
356,dire,7088061519,53,49.49,75,22,49.480000000000004,75,79,38.84,75,136,44.47,75,35,45.87,75,120,53.33,75,17,48.71,75,63,50.21,75,86,48.55,75,85,48.25,75
357,dire,7088052470,96,49.85,80,106,46.33,80,128,47.699999999999996,80,87,49.86,80,10,45.519999999999996,80,18,50.32,80,23,50.760000000000005,80,55,52.82,80,32,51.739999999999995,80,9,54.98,80
358,dire,7088047569,85,50.32,80,9,51.339999999999996,80,65,53.33,80,6,47.9,80,29,47.06,80,128,46.33,80,83,50.51,80,93,54.35,80,101,52.56999999999999,80,104,51.949999999999996,80
359,dire,7088046752,128,46.33,80,114,48.8,80,106,49.86,80,123,49.87,80,77,45.35,80,75,47.599999999999994,80,51,46.11,80,52,54.98,80,55,52.01,80,95,47.54,80
360,radiant,7088038068,46,43.66,80,17,47.599999999999994,80,55,48.25,80,58,48.13,80,51,54.98,80,64,38.84,80,120,50.21,80,95,51.949999999999996,80,101,50.8,80,53,47.54,80
361,radiant,7087979512,28,49.480000000000004,75,79,50.32,75,35,46.39,75,102,50.33,75,9,44.47,75,86,48.86,75,97,48.71,71,76,47.31,75,109,50.8,53,64,49.2,75
362,dire,7087953177,51,53.33,80,90,49.96,80,120,47.599999999999994,80,6,47.9,80,85,50.21,80,1,49.85,80,17,49.87,80,77,48.25,80,9,50.32,80,87,47.69,80
363,dire,7087901257,110,48.86,75,76,49.49,75,35,44.47,53,97,47.69,71,136,49.2,75,41,45.32,75,9,46.33,75,129,50.32,75,100,42.92,75,128,49.34,75
364,dire,7087877329,6,48.71,80,85,53.33,80,86,47.9,80,43,50.690000000000005,63,7,49.96,80,87,49.85,80,11,42.91,80,77,50.839999999999996,80,105,49.87,80,49,47.0,80
365,dire,7087844840,42,46.68,80,49,50.32,80,69,51.39,80,9,42.91,80,5,44.42,80,53,38.84,80,92,50.51,80,13,48.3,80,86,48.71,80,83,49.87,80
366,radiant,7087816432,128,50.32,45,22,46.33,54,29,47.06,75,9,44.42,75,42,45.87,52,85,48.71,75,129,53.33,75,6,47.9,75,52,42.92,75,86,46.11,75
367,dire,7087815926,94,54.300000000000004,75,85,53.33,80,51,47.599999999999994,72,43,50.690000000000005,80,98,48.15,75,54,47.910000000000004,75,87,51.949999999999996,80,101,47.02,75,38,49.85,80,74,46.02,80
368,radiant,7087783255,87,49.85,80,34,38.84,80,53,53.93,80,62,46.68,80,69,54.230000000000004,80,10,43.66,80,58,47.910000000000004,80,22,45.519999999999996,80,49,45.87,63,38,42.91,80
369,radiant,7087776459,109,49.85,80,77,47.31,80,17,48.25,80,87,49.63,80,107,49.87,80,53,38.84,80,19,50.51,80,135,45.87,80,22,45.24,80,83,50.41,80
370,radiant,7142277710,53,46.77,75,32,47.69,75,30,38.84,75,110,54.230000000000004,75,34,52.82,75,69,54.300000000000004,75,128,43.66,75,94,46.68,75,126,46.33,75,58,48.22,75
371,radiant,7142165314,108,51.31,80,73,50.67,75,111,53.480000000000004,75,9,50.32,72,109,47.31,73,5,53.93,72,114,48.35,80,62,51.39,51,84,48.8,80,74,47.02,80
372,dire,7142160679,59,46.68,75,69,49.120000000000005,80,14,49.49,75,76,50.24999999999999,61,136,49.2,80,47,51.31,80,101,51.949999999999996,75,45,48.71,75,73,49.61,75,86,51.870000000000005,75
373,radiant,7142159114,88,50.06,75,48,48.71,75,108,50.67,75,19,45.24,75,86,45.5,75,26,45.36,75,104,54.35,75,87,52.56999999999999,75,93,49.85,75,11,47.0,75
374,dire,7142123827,108,48.25,80,17,51.870000000000005,80,45,51.39,80,5,45.519999999999996,80,10,50.67,80,111,47.910000000000004,80,38,49.86,80,106,53.480000000000004,80,9,50.32,80,48,45.5,80
375,radiant,7142110962,126,53.93,80,101,51.949999999999996,75,108,50.67,75,109,47.31,75,62,48.22,75,138,51.31,80,34,53.480000000000004,80,110,47.69,75,111,48.06,75,73,54.230000000000004,61
376,dire,7142081748,26,46.77,75,4,54.35,75,30,45.36,75,104,47.0,75,11,51.480000000000004,75,123,48.71,75,126,48.22,75,70,45.35,75,49,42.91,75,86,46.54,75
377,radiant,7142077446,84,51.949999999999996,80,32,54.300000000000004,75,87,52.82,75,101,49.85,72,94,48.35,73,5,50.44,80,46,48.71,80,138,51.39,80,2,48.06,80,86,48.13,51
378,dire,7141043230,104,54.35,80,64,50.8,80,101,51.949999999999996,80,41,49.34,80,32,52.82,80,100,49.96,80,120,54.300000000000004,80,94,50.21,80,90,45.32,80,69,46.68,80
379,radiant,7141027061,86,49.96,80,126,48.22,80,2,48.71,80,89,54.47,80,90,50.44,80,9,47.910000000000004,80,38,50.32,80,105,50.839999999999996,80,110,47.69,80,46,48.13,80
380,dire,7141009142,76,51.28,80,68,48.71,75,86,48.86,75,114,48.8,75,97,49.2,80,11,50.690000000000005,75,106,49.78,73,119,47.0,80,43,49.86,75,21,53.18000000000001,80
381,radiant,7140992091,98,52.82,75,87,50.839999999999996,75,32,49.85,61,105,48.55,71,63,48.15,73,109,43.66,75,5,51.39,80,58,47.31,80,108,50.67,75,126,48.22,80
382,radiant,7140991469,87,50.67,80,129,48.71,80,108,49.85,80,138,42.92,80,86,48.06,80,45,51.870000000000005,80,29,52.56999999999999,80,17,51.39,80,93,48.25,80,5,47.06,80
383,dire,7140990799,78,49.85,62,17,45.32,80,87,46.54,80,70,48.25,80,100,50.54,80,51,48.71,80,109,50.67,80,126,47.599999999999994,80,86,48.22,80,108,47.31,80
384,dire,7140987553,31,48.71,80,86,51.05,80,98,51.04,80,39,48.15,80,18,51.739999999999995,80,9,43.66,80,36,48.8,80,114,50.32,80,93,52.56999999999999,80,58,48.72,80
385,dire,7140976821,45,51.39,80,5,54.300000000000004,80,108,51.870000000000005,80,94,48.22,80,126,50.67,80,104,54.35,80,120,53.480000000000004,80,111,49.480000000000004,80,79,52.56999999999999,80,93,50.21,80
386,radiant,7140974929,21,53.93,80,111,53.480000000000004,80,38,53.18000000000001,75,62,52.82,73,32,47.910000000000004,75,68,51.28,75,114,45.24,75,52,48.8,80,19,54.35,75,104,46.11,80
387,dire,7140939120,45,48.25,80,17,51.870000000000005,80,109,47.31,80,101,51.949999999999996,80,2,50.44,80,32,52.82,80,106,48.06,80,138,50.32,80,4,49.86,80,9,51.480000000000004,80
388,radiant,7140930953,9,45.24,75,54,50.32,75,103,56.34,75,19,46.02,80,78,50.54,80,119,49.78,80,4,50.06,80,40,51.92,75,65,51.480000000000004,75,88,51.339999999999996,73
389,radiant,7140890442,126,53.93,80,38,48.22,80,62,47.910000000000004,80,94,50.839999999999996,80,105,54.300000000000004,80,73,49.86,80,106,49.96,80,57,48.71,80,86,51.31,80,90,50.870000000000005,80
390,radiant,7140715058,10,50.06,75,94,54.300000000000004,75,58,43.66,75,88,45.519999999999996,75,16,47.88,75,120,48.71,75,86,50.41,75,79,49.480000000000004,75,109,50.21,75,135,47.31,75
391,dire,7140658484,14,45.35,75,123,50.32,75,9,49.120000000000005,75,52,48.13,75,46,46.11,75,110,53.400000000000006,75,126,47.69,75,70,46.39,75,112,46.54,75,28,48.22,75
392,dire,7140587961,49,48.71,75,17,49.85,75,48,42.91,75,87,45.5,75,86,48.25,75,104,48.06,75,111,54.35,75,21,53.480000000000004,75,138,53.18000000000001,75,76,49.2,75
393,radiant,7140504836,26,45.36,75,87,49.85,75,39,46.39,75,28,46.02,75,54,51.05,75,86,49.120000000000005,75,17,48.71,75,93,42.91,75,14,52.56999999999999,75,49,48.25,75
394,radiant,7140486780,105,53.33,45,95,52.82,80,85,50.839999999999996,75,75,52.01,75,32,47.54,61,40,54.35,75,104,51.92,80,64,50.8,75,57,48.72,80,36,50.870000000000005,73
395,dire,7140457548,58,43.66,80,70,49.96,80,49,46.54,80,2,42.91,80,90,50.44,80,75,47.910000000000004,80,38,50.839999999999996,80,17,48.25,80,105,52.01,80,4,51.480000000000004,80
396,dire,7140425528,123,48.35,75,84,45.35,75,49,45.87,75,4,42.91,75,22,51.480000000000004,75,111,53.480000000000004,75,14,48.71,75,93,50.67,75,86,52.56999999999999,75,108,49.120000000000005,75
397,dire,7140418468,64,51.870000000000005,75,86,54.35,80,104,50.8,80,63,48.55,73,45,48.71,80,138,48.06,80,105,50.839999999999996,45,75,45.32,75,100,48.35,75,84,52.01,61
398,radiant,7140360259,110,47.69,75,98,48.71,75,86,48.15,75,138,48.06,75,104,54.35,75,119,50.06,75,4,45.87,75,57,49.78,75,88,51.480000000000004,75,22,50.870000000000005,75
399,dire,7140338584,73,51.31,80,111,53.480000000000004,45,114,48.8,75,21,43.66,75,58,53.18000000000001,61,104,48.71,80,126,54.35,80,87,49.85,75,11,47.0,73,86,48.22,80
400,radiant,7140320560,31,46.68,80,69,51.04,80,106,50.32,80,9,49.86,80,70,46.54,80,5,49.96,80,89,48.22,80,126,51.39,80,78,54.47,80,90,50.54,80
401,radiant,7140256319,30,49.96,75,38,46.77,75,62,53.93,75,73,51.31,75,90,47.910000000000004,75,9,50.32,75,126,46.68,75,69,51.949999999999996,75,101,48.22,75,108,50.67,75
402,dire,7140232870,74,46.68,80,69,48.8,80,114,49.85,80,87,43.66,80,58,47.02,80,7,49.88,80,91,54.35,80,104,52.56999999999999,72,82,49.96,74,93,54.730000000000004,80
403,dire,7140224303,12,46.68,75,40,51.92,75,86,48.71,75,69,50.13999999999999,80,126,48.22,75,62,53.93,80,96,54.300000000000004,80,94,49.85,73,87,47.699999999999996,75,120,50.21,80
404,dire,7140174137,38,49.96,80,49,42.91,80,5,47.910000000000004,80,1,51.39,80,90,47.69,80,128,51.870000000000005,80,62,48.25,80,17,53.93,80,45,52.56999999999999,80,93,46.33,80
405,radiant,7140154153,7,49.96,80,90,54.300000000000004,80,40,51.92,72,76,49.96,74,94,49.2,80,126,48.22,80,93,43.66,80,104,54.35,80,75,52.56999999999999,80,58,52.01,80
406,dire,7140135726,46,53.93,75,108,43.66,80,58,50.67,75,22,48.13,75,62,45.87,75,6,54.35,73,64,51.949999999999996,75,104,50.8,80,101,47.9,80,13,48.3,80
407,dire,7140100318,84,47.910000000000004,80,38,50.660000000000004,80,114,48.35,80,55,54.98,80,66,48.8,80,94,53.93,80,108,54.300000000000004,80,126,51.39,80,62,48.22,80,5,50.67,80
408,dire,7140001250,1,46.68,80,14,47.69,80,69,51.39,80,5,49.120000000000005,80,21,53.18000000000001,80,94,53.93,80,2,54.300000000000004,80,9,50.44,80,62,48.71,80,86,50.32,80
409,dire,7139997121,94,45.24,73,40,54.300000000000004,80,19,49.85,73,87,51.92,62,74,47.02,80,108,50.67,71,126,48.71,63,70,46.54,74,86,51.080000000000005,72,3,48.22,55
410,dire,7139987891,97,49.96,80,126,47.31,80,45,51.870000000000005,80,109,48.22,80,90,48.86,80,65,50.67,80,108,48.71,80,86,51.04,80,31,51.339999999999996,80,41,49.34,80
411,dire,7139979008,9,47.910000000000004,80,38,54.300000000000004,80,90,50.32,75,17,49.96,80,94,48.25,73,55,51.31,80,73,53.93,75,40,51.92,75,62,53.18000000000001,72,21,54.98,75
412,dire,7139888037,54,53.93,80,2,53.18000000000001,80,21,53.480000000000004,80,62,50.44,80,111,46.02,80,121,46.68,80,49,50.870000000000005,80,57,48.26,80,69,48.71,80,86,42.91,80
413,radiant,7139883981,84,49.85,71,13,54.300000000000004,63,94,48.35,74,87,53.93,72,62,48.3,55,100,45.32,73,89,53.18000000000001,73,106,52.01,80,75,54.47,62,21,49.86,80
414,dire,7139870870,31,53.93,75,17,49.96,73,90,48.25,75,14,51.04,72,62,49.120000000000005,52,69,46.68,80,18,50.839999999999996,75,45,51.870000000000005,75,106,49.86,80,105,51.739999999999995,72
415,radiant,7139830464,31,51.31,80,108,51.04,80,39,49.85,80,87,50.67,80,73,51.05,80,109,49.96,80,90,47.31,80,2,50.44,80,62,51.39,80,5,53.93,80
416,radiant,7139812552,40,51.31,75,69,53.93,80,62,51.92,72,73,46.68,75,17,48.25,80,137,48.35,73,14,50.839999999999996,72,31,51.04,75,84,47.8,75,105,49.120000000000005,52
417,radiant,7142013921,75,51.31,80,69,46.68,80,106,52.01,80,111,53.480000000000004,80,73,49.86,80,96,50.67,80,86,48.71,80,108,51.870000000000005,80,45,46.54,80,70,47.699999999999996,80
418,dire,7141997120,100,51.39,80,5,51.92,80,68,45.32,80,8,46.56,80,40,51.28,80,73,53.33,80,57,51.31,80,85,50.839999999999996,80,105,50.870000000000005,80,106,49.86,80
419,radiant,7141990348,62,50.06,75,6,53.93,52,38,47.910000000000004,75,19,47.9,54,88,45.24,45,87,45.35,75,129,49.85,75,123,42.92,75,46,48.13,75,22,45.87,75
420,radiant,7141967140,126,51.31,80,73,51.39,80,5,51.949999999999996,65,135,50.41,80,101,48.22,51,69,46.68,80,105,50.839999999999996,72,86,51.92,80,40,48.55,75,63,48.71,73
421,dire,7141906758,87,50.06,75,135,49.85,75,88,50.41,75,22,45.87,75,46,48.13,75,94,54.300000000000004,75,17,48.71,54,32,54.35,52,104,52.82,75,86,48.25,45
422,dire,7141899491,3,51.080000000000005,80,38,47.910000000000004,80,9,50.32,80,11,47.0,80,70,46.54,80,94,53.33,80,108,54.300000000000004,80,85,49.86,80,90,49.96,80,106,50.67,80
423,radiant,7141886060,75,52.01,75,35,49.120000000000005,75,11,48.35,75,14,44.47,75,84,47.0,75,104,50.06,80,40,54.35,75,88,51.949999999999996,75,1,47.69,80,101,51.92,52
424,radiant,7141841210,7,54.35,80,85,49.96,80,104,50.13999999999999,72,13,48.3,74,12,53.33,80,86,50.839999999999996,74,105,48.71,80,52,49.120000000000005,80,14,50.870000000000005,80,57,46.11,80
425,radiant,7141818157,75,50.67,80,109,47.31,80,108,52.01,80,105,50.839999999999996,80,19,45.24,80,114,53.93,80,74,51.39,80,62,51.949999999999996,80,101,48.8,80,5,47.02,80
426,radiant,7141798030,95,48.71,80,22,51.39,75,16,47.54,80,86,47.88,52,5,45.87,75,9,50.32,75,57,48.96,75,27,48.13,75,17,50.870000000000005,75,46,48.25,75
427,radiant,7141759205,3,53.33,80,20,54.300000000000004,80,101,44.629999999999995,80,85,51.949999999999996,80,94,51.080000000000005,80,10,54.35,80,104,50.839999999999996,80,120,51.39,80,5,45.519999999999996,80,105,50.21,80
428,dire,7141732510,105,50.13999999999999,80,128,50.839999999999996,74,11,47.8,80,12,46.33,80,137,47.0,80,7,46.68,80,5,49.96,80,69,51.39,72,13,49.120000000000005,74,14,48.3,80
429,radiant,7141716385,57,49.85,75,101,51.949999999999996,75,14,49.120000000000005,75,87,50.870000000000005,75,75,52.01,75,106,46.5,75,135,51.39,80,72,50.41,52,54,46.02,80,5,49.86,75
430,radiant,7141713914,58,51.31,80,1,47.69,80,17,43.66,80,73,51.39,80,5,48.25,75,69,54.300000000000004,80,94,46.68,75,105,49.85,75,87,52.82,73,32,50.839999999999996,80
431,radiant,7141687549,86,48.71,80,46,50.67,80,108,49.85,80,87,49.86,80,106,48.13,80,4,53.93,80,19,43.66,80,62,51.949999999999996,80,101,51.480000000000004,80,58,45.24,80
432,radiant,7141642200,10,54.35,80,110,50.839999999999996,80,104,51.92,80,105,45.519999999999996,80,40,47.69,80,85,53.33,80,86,51.31,80,6,48.71,80,73,49.2,80,76,47.9,80
433,radiant,7141620865,84,48.71,75,86,48.35,75,93,52.56999999999999,75,104,54.35,75,35,44.47,75,101,47.69,75,70,51.949999999999996,75,103,46.54,75,110,56.34,75,17,48.25,75
434,dire,7141597260,31,53.93,72,106,52.56999999999999,80,2,51.04,80,93,50.44,80,62,49.86,51,94,54.300000000000004,80,137,47.8,80,138,45.32,80,104,48.06,80,100,54.35,75
435,dire,7141591301,86,48.71,80,109,54.35,80,104,49.85,72,87,48.22,80,126,47.31,74,108,50.839999999999996,74,105,50.67,80,82,44.690000000000005,80,44,48.86,80,97,54.730000000000004,80
436,radiant,7141544396,10,51.31,80,110,50.839999999999996,80,73,51.92,80,40,45.519999999999996,80,105,47.69,80,21,51.39,80,5,48.8,80,114,53.18000000000001,80,120,48.35,80,84,50.21,80
437,dire,7141521796,100,45.32,75,107,49.63,75,48,48.15,75,98,45.5,75,19,45.24,75,88,50.06,75,94,48.71,75,86,48.35,75,6,47.9,75,84,54.300000000000004,75
438,dire,7141380924,94,49.96,80,106,54.300000000000004,80,90,49.86,75,9,50.32,80,69,46.68,80,88,50.06,80,17,53.480000000000004,80,55,48.25,75,109,54.98,73,111,47.31,80
439,radiant,7141372348,62,43.66,75,51,50.21,75,58,47.599999999999994,75,93,53.93,75,120,52.56999999999999,75,70,49.85,75,84,51.870000000000005,75,45,48.35,75,17,46.54,75,87,48.25,75
440,radiant,7145798701,17,49.85,75,87,47.06,75,29,48.25,75,86,48.71,75,95,47.54,75,34,50.44,54,1,50.06,52,40,51.92,75,2,47.69,75,88,54.230000000000004,45
441,radiant,7145763544,34,49.85,54,104,51.949999999999996,75,87,54.35,75,101,47.9,45,6,54.230000000000004,52,19,50.32,75,111,47.06,75,29,45.24,75,70,46.54,75,9,53.480000000000004,75
442,dire,7145753516,8,46.68,80,13,51.04,80,69,53.93,80,62,46.56,80,31,48.3,80,105,51.31,80,73,50.67,80,108,43.66,80,17,50.839999999999996,80,58,48.25,80
443,radiant,7145710399,53,49.480000000000004,75,87,49.85,75,114,38.84,75,106,49.86,75,79,48.8,75,58,49.120000000000005,75,26,43.66,75,32,45.36,52,11,47.0,54,14,52.82,45
444,dire,7145678244,18,50.67,80,65,49.96,80,108,53.480000000000004,80,90,51.339999999999996,80,111,51.739999999999995,80,86,46.68,80,46,48.71,80,106,53.33,80,69,48.13,80,85,49.86,80
445,dire,7145642061,69,46.68,75,126,51.39,75,5,45.24,75,138,48.06,75,19,48.22,75,36,53.93,75,62,50.32,75,9,48.72,75,106,49.86,75,48,45.5,75
446,radiant,7145582126,62,53.93,75,87,50.67,75,39,49.85,75,108,51.05,75,95,47.54,75,88,50.06,75,137,45.24,75,106,47.8,75,46,48.13,75,19,49.86,75
447,radiant,7145547636,17,47.910000000000004,80,38,47.0,80,63,48.55,80,64,50.8,75,11,48.25,73,136,48.35,72,84,50.32,75,57,49.49,80,93,52.56999999999999,80,9,50.870000000000005,51
448,radiant,7145511788,86,50.21,75,120,48.71,75,49,42.91,75,84,47.69,75,1,48.35,75,88,50.06,75,98,54.300000000000004,75,104,54.35,75,94,51.949999999999996,75,101,48.15,75
449,radiant,7145492104,84,54.35,75,104,48.35,80,9,50.32,51,65,49.49,80,136,51.339999999999996,72,6,50.660000000000004,73,38,47.910000000000004,80,45,47.9,80,66,51.870000000000005,75,46,48.13,80
450,dire,7145434489,87,46.33,75,17,49.85,75,46,48.13,75,128,48.13,75,81,48.25,75,75,52.01,75,70,48.71,75,86,45.32,75,100,42.91,75,49,46.54,75
451,radiant,7145431749,104,54.35,80,101,51.949999999999996,80,66,50.660000000000004,75,39,47.0,80,11,51.05,73,5,53.93,72,18,50.67,80,120,51.739999999999995,75,108,51.39,80,62,50.21,51
452,dire,7145350433,31,51.04,75,49,48.71,75,86,42.91,75,34,48.8,75,114,54.230000000000004,75,105,50.06,75,21,50.839999999999996,75,88,48.13,75,96,47.699999999999996,75,46,53.18000000000001,75
453,dire,7145327464,59,51.31,80,101,54.300000000000004,80,69,46.68,80,94,51.949999999999996,75,73,50.24999999999999,80,1,47.910000000000004,75,38,47.69,75,39,48.71,54,86,51.92,75,40,51.05,73
454,dire,7145294493,90,51.39,80,108,50.67,80,5,49.96,80,41,48.25,80,17,49.34,80,85,53.33,80,47,50.839999999999996,80,13,48.8,80,105,48.3,80,114,49.61,80
455,radiant,7145238118,17,48.25,54,94,49.96,75,2,45.32,75,90,54.300000000000004,75,100,50.44,73,126,51.31,80,84,48.22,80,88,48.35,80,5,51.39,75,73,50.06,80
456,radiant,7145168679,21,50.67,80,114,51.92,80,40,53.18000000000001,80,108,50.21,80,120,48.8,80,93,51.39,80,126,52.56999999999999,80,62,51.339999999999996,80,5,53.93,80,65,48.22,80
457,dire,7145138155,111,46.68,72,69,48.71,51,86,53.480000000000004,80,45,47.31,80,109,51.870000000000005,80,73,47.910000000000004,75,38,51.31,75,126,49.96,54,90,50.8,75,64,48.22,73
458,dire,7145051002,88,46.68,80,98,48.06,80,138,45.32,80,69,50.06,80,100,48.15,75,91,52.82,75,48,50.839999999999996,75,105,49.88,71,76,45.5,75,32,49.2,61
459,dire,7145046551,45,53.33,80,85,48.22,80,73,51.870000000000005,80,135,51.31,80,126,50.41,80,62,51.39,80,5,53.93,80,109,48.35,80,65,51.339999999999996,80,84,47.31,80
460,radiant,7145029134,12,50.13999999999999,75,135,53.33,75,106,50.839999999999996,54,105,49.86,75,85,50.41,73,69,51.31,80,58,56.34,51,103,43.66,72,123,46.68,80,73,45.35,80
461,radiant,7144943137,87,51.31,75,57,50.839999999999996,75,105,49.85,71,73,52.82,75,32,50.870000000000005,61,90,46.68,80,5,49.96,75,69,51.39,80,106,49.86,80,44,44.690000000000005,80
462,radiant,7144912145,5,51.39,80,58,53.93,80,73,43.66,80,2,51.31,80,62,50.44,80,110,53.33,80,104,54.35,80,41,49.34,80,85,47.02,80,74,47.69,80
463,radiant,7144912034,87,51.31,72,73,51.949999999999996,75,126,54.35,80,104,49.85,75,101,48.22,80,84,51.83,80,62,48.35,75,91,51.39,75,56,49.88,75,5,53.93,75
464,dire,7144870383,41,51.39,80,111,53.480000000000004,75,38,47.910000000000004,54,5,49.34,64,39,51.05,75,114,48.8,80,87,49.85,80,57,50.870000000000005,73,84,48.35,75,126,48.22,75
465,radiant,7144852858,69,51.83,80,56,46.68,75,93,49.87,75,21,52.56999999999999,75,92,53.18000000000001,75,73,51.31,75,34,50.06,80,104,53.480000000000004,75,111,54.35,72,88,54.230000000000004,80
466,radiant,7144833838,21,49.96,80,138,48.06,80,51,53.18000000000001,75,49,47.599999999999994,80,90,42.91,80,86,54.300000000000004,73,94,54.35,75,104,48.71,80,126,48.22,80,85,53.33,75
467,radiant,7144822424,64,54.300000000000004,80,2,48.71,80,86,50.44,80,21,50.8,80,94,53.18000000000001,80,114,51.39,80,63,50.67,80,5,48.55,80,108,48.8,80,126,48.22,80
468,dire,7144819639,87,49.85,80,73,51.31,73,38,47.910000000000004,75,90,51.480000000000004,75,4,49.96,80,48,51.39,80,21,48.8,75,104,53.18000000000001,54,114,54.35,75,5,45.5,64
469,radiant,7144789834,55,51.31,75,17,50.06,80,73,56.34,75,103,54.98,72,88,48.25,80,94,54.300000000000004,80,126,48.71,75,4,53.93,75,62,51.480000000000004,75,86,48.22,75
470,dire,7144762129,46,51.04,80,31,48.8,64,114,50.44,75,17,48.13,75,2,48.25,54,87,49.85,80,84,51.05,75,39,48.35,73,120,50.21,75,35,44.47,80
471,dire,7144754753,73,51.31,75,88,49.2,75,76,54.300000000000004,75,94,50.06,75,2,50.44,75,45,47.54,75,101,49.85,75,95,51.870000000000005,75,84,48.35,75,87,51.949999999999996,75
472,dire,7144736535,84,51.31,80,86,48.35,75,64,50.8,73,73,48.71,75,13,48.3,80,31,46.68,75,98,51.949999999999996,80,69,51.04,80,4,51.480000000000004,80,101,48.15,75
473,radiant,7144734855,69,51.31,80,104,48.71,61,73,54.35,75,86,51.04,71,31,46.68,75,109,50.06,75,88,49.85,80,96,47.31,75,36,47.699999999999996,80,87,48.72,72
474,radiant,7144716036,126,48.22,80,96,49.85,75,11,47.699999999999996,80,109,47.31,43,87,47.0,80,89,48.26,80,121,46.68,80,69,48.55,71,138,48.06,75,63,54.47,75
475,radiant,7144697695,21,51.31,75,33,49.16,75,96,53.33,75,85,47.699999999999996,75,73,53.18000000000001,75,129,51.28,75,68,52.01,75,8,42.92,75,106,46.56,75,75,49.86,75
476,radiant,7144671211,70,54.35,80,104,48.22,80,126,52.01,80,5,51.39,80,75,46.54,80,91,53.480000000000004,80,106,49.86,80,136,49.49,80,111,49.88,80,73,51.31,80
477,dire,7144670741,2,51.31,80,73,54.300000000000004,75,94,49.96,80,90,50.44,75,59,50.24999999999999,73,120,53.93,75,62,49.120000000000005,80,87,48.71,75,86,49.85,75,14,50.21,75
478,dire,7144665449,94,50.8,80,64,49.120000000000005,80,14,54.300000000000004,71,120,50.21,75,73,51.31,75,86,48.71,80,98,45.32,75,57,50.870000000000005,80,100,52.82,80,32,48.15,43
479,radiant,7108714468,86,48.71,80,137,47.8,80,103,56.34,80,53,38.84,80,40,51.92,80,52,46.11,80,32,52.82,80,51,47.599999999999994,80,106,49.86,80,89,54.47,80
480,dire,7108713191,85,53.33,75,128,46.33,75,11,47.0,75,110,47.69,75,48,45.5,75,100,45.32,75,105,50.839999999999996,75,30,46.77,75,53,38.84,75,45,51.870000000000005,75
481,dire,7108683577,69,46.68,80,123,45.35,80,58,43.66,80,54,46.02,80,120,50.21,80,86,48.71,80,96,47.699999999999996,80,18,51.739999999999995,80,91,49.88,80,65,51.339999999999996,80
482,dire,7108624003,74,47.02,80,86,48.71,80,136,49.49,80,10,45.519999999999996,80,108,50.67,80,43,50.690000000000005,80,46,48.13,80,100,45.32,80,75,52.01,80,53,38.84,80
483,radiant,7108603830,85,53.33,75,128,46.33,75,129,42.92,75,70,46.54,75,25,40.54,75,5,51.39,75,110,47.69,75,137,47.8,75,6,47.9,75,22,45.87,75
484,radiant,7108603480,86,48.71,75,71,51.55,75,100,45.32,75,74,47.02,75,47,49.61,75,87,49.85,80,43,50.690000000000005,80,62,53.93,75,106,49.86,72,67,47.81,73
485,radiant,7108586711,85,53.33,80,5,51.39,80,32,52.82,80,9,50.32,80,25,40.54,75,38,47.910000000000004,80,58,43.66,80,64,50.8,80,41,49.34,80,69,46.68,80
486,dire,7108552110,38,47.910000000000004,80,87,49.85,75,123,45.35,63,98,48.15,80,102,50.33,75,137,47.8,74,92,49.87,80,75,52.01,80,83,50.51,80,95,47.54,80
487,radiant,7108521153,58,43.66,75,120,50.21,75,11,47.0,75,86,48.71,75,71,51.55,75,87,49.85,80,62,53.93,75,105,50.839999999999996,72,19,45.24,80,1,47.69,75
488,radiant,7108515473,53,38.84,75,51,47.599999999999994,75,58,43.66,80,55,54.98,80,19,45.24,80,86,48.71,80,38,47.910000000000004,80,89,54.47,80,64,50.8,80,13,48.3,80
489,dire,7108514375,112,53.400000000000006,75,33,49.16,75,97,48.86,75,70,46.54,75,7,49.96,75,27,48.96,75,22,45.87,75,14,49.120000000000005,75,10,45.519999999999996,75,25,40.54,75
490,radiant,7108483382,137,47.8,74,92,49.87,80,75,52.01,80,77,49.87,80,31,51.04,80,38,47.910000000000004,80,87,49.85,75,86,48.71,63,22,45.87,80,70,46.54,75
491,dire,7108444068,128,46.33,80,49,42.91,80,120,50.21,80,79,49.480000000000004,75,29,47.06,80,69,46.68,75,86,48.71,80,65,51.339999999999996,75,111,53.480000000000004,80,10,45.519999999999996,75
